location_name,top_category,latitude,longitude
Other Miscellaneous Store Retailers,Smokers Choice,43.114225,-75.20857
Automotive Repair and Maintenance,East Side Glass & Mirror,43.10233,-75.223225
Automobile Dealers,Mozdzen Auto,43.095711,-75.210896
Religious Organizations,St Peters School,43.116679,-75.209117
Religious Organizations,Buddha Dama Thuka Temple,43.08871,-75.248888
Automotive Repair and Maintenance,Cars Collision,43.102216,-75.222728
Restaurants and Other Eating Places,Utica Brews Internet Cafe,43.10206,-75.245323
Automotive Repair and Maintenance,Skermonts Auto,43.094186,-75.205057
Restaurants and Other Eating Places,Marr Logg House,43.082541,-75.204619
Used Merchandise Stores,Autoland Rental Cars,43.094109,-75.228006
Restaurants and Other Eating Places,Bei Jing House,43.093335,-75.248672
Restaurants and Other Eating Places,El Canelo,43.086545,-75.259858
Restaurants and Other Eating Places,Triangle Coffee Shop,43.100407,-75.233662
Religious Organizations,Christian Assembly Of Schuyler,43.138386,-75.194831
Restaurants and Other Eating Places,Slice Pizzeria,43.086372,-75.261328
Personal Care Services,Jo Mar Beauty Salon,43.087143,-75.219192
Building Material and Supplies Dealers,Lowe's,43.126098,-75.224338
Beverage Manufacturing,Saranac Brewery Matt Brewing Co,43.104526,-75.245806
Nursing Care Facilities (Skilled Nursing Facilities),Oneida Center For Rehabilitation And Nursing,43.093128,-75.241417
Building Material and Supplies Dealers,Sherwin-Williams,43.088,-75.260484
Automotive Repair and Maintenance,Utica Hydra Matic Service,43.098838,-75.224804
Child Day Care Services,First Nursery School Of Utica,43.091393,-75.250384
Restaurants and Other Eating Places,Sunny Side Up Cafe,43.094052,-75.203118
Nursing Care Facilities (Skilled Nursing Facilities),The Grand Rehabilitation And Nursing At Utica,43.090256,-75.257138
Gasoline Stations,Sunoco,43.093074,-75.247703
Other Amusement and Recreation Industries,JP3 Performance Studio,43.101555,-75.230074
Automotive Equipment Rental and Leasing,Enterprise Rent-A-Car,43.104588,-75.236159
Restaurants and Other Eating Places,The Patio Drive In,43.109115,-75.251014
Restaurants and Other Eating Places,Pizza Classic,43.10203,-75.230732
Motion Picture and Video Industries,Uptown Theatre for Creative Arts,43.086565,-75.262136
Gasoline Stations,Sunoco,43.088458,-75.223123
 and Musical Instrument Stores, Hobby,Sporting Goods,Bass Pro Shops,43.125236,-75.225889
Religious Organizations,St Vladimir Ukrainian Catholic Church,43.098125,-75.238672
Personal Care Services,Supercuts,43.08528,-75.281943
Home Health Care Services,US Care Systems,43.078944,-75.277405
Restaurants and Other Eating Places,Subway,43.080907,-75.20672
Beverage Manufacturing,Baggs Square Brewing Co,43.103313,-75.223324
Health and Personal Care Stores,Walgreens,43.089567,-75.222004
Furniture Stores,Strosberg Wm,43.097979,-75.216146
Religious Organizations,St John's Catholic Church Rectory Historic,43.100369,-75.22788
Other Amusement and Recreation Industries,Curves,43.126422,-75.236597
Religious Organizations,Asbury United Methodist Church,43.091457,-75.212223
Building Material and Supplies Dealers,BGM Supply,43.089553,-75.225735
Specialty Food Stores,Orderit Alcohol Delivery,43.104566,-75.241929
Health and Personal Care Stores,Focal Point Optical,43.077571,-75.281103
Automotive Repair and Maintenance,Auto Dimensions Plus,43.092269,-75.196703
Religious Organizations,United Church Nursery School,43.096684,-75.242421
General Medical and Surgical Hospitals,New York State,43.100228,-75.260642
 and Similar Institutions, Historical Sites,Museums,Parkway East,43.076,-75.210263
 including Warehouse Clubs and Supercenters,General Merchandise Stores,BJ's Wholesale Club,43.126611,-75.22254
Amusement Parks and Arcades,Club Comacho's Sports,43.103099,-75.241471
Restaurants and Other Eating Places,Number 1 Chinese Restaurant,43.091211,-75.222768
Religious Organizations,Vision To Plant Foundation,43.088991,-75.252283
Home Furnishings Stores,Utica Cutlery Company,43.097819,-75.249275
Automotive Repair and Maintenance,Lansing Body Works,43.090996,-75.205377
Clothing Stores,Burlington,43.12701,-75.223765
Automotive Repair and Maintenance,George's Precision Auto Body,43.111932,-75.267605
Restaurants and Other Eating Places,Panda House,43.100169,-75.234399
Restaurants and Other Eating Places,Arby's,43.087408,-75.258617
Restaurants and Other Eating Places,Kookie's Q &amp Creamery,43.107043,-75.222837
Gasoline Stations,Speedway,43.108879,-75.219068
Grocery Stores,Broad Street Cash & Carry,43.100376,-75.21411
Electronics and Appliance Stores,Metro by T Mobile Authorized Dealer,43.091348,-75.222693
Restaurants and Other Eating Places,Boneyard BBQ's,43.083365,-75.277484
Personal Care Services,Fancy Nails,43.11426,-75.208754
General Medical and Surgical Hospitals,St Elizabeth Medical Center,43.081927,-75.266761
Personal Care Services,Tucci Maria Beautcn,43.079158,-75.277037
Lessors of Real Estate,Hannaford Plaza,43.091417,-75.223706
Furniture Stores,Affordable Furniture,43.099246,-75.247192
Personal Care Services,The Cutting Edge Salon,43.099734,-75.152476
Health and Personal Care Stores,Rite Aid,43.087517,-75.26079
Nursing Care Facilities (Skilled Nursing Facilities),Heritage Health Care Center,43.090487,-75.256683
Religious Organizations,Burmese Muslim Association Of Utica Inc,43.092421,-75.228197
Restaurants and Other Eating Places,Scoops and Sandwiches,43.096252,-75.241378
Consumer Goods Rental,New School For Social Research,43.10016,-75.260036
Automotive Repair and Maintenance,Southside Auto Repair,43.109351,-75.261462
Religious Organizations,St John's Episcopal Church,43.101025,-75.227423
Automotive Repair and Maintenance,Cashion's Collision,43.093634,-75.259193
Automotive Repair and Maintenance,Utica Lincoln Garage,43.093625,-75.259192
Child Day Care Services,Upstate Cerebral Palsy,43.077111,-75.264698
Gasoline Stations,Speedway,43.077102,-75.279825
Gasoline Stations,Noyes Street Alignment and Brake,43.096828,-75.249096
Restaurants and Other Eating Places,Lenox Cafe,43.098886,-75.253476
Restaurants and Other Eating Places,Swifty's Restaurant & Pub,43.099168,-75.235106
Department Stores,Citi Trends,43.089608,-75.221183
Health and Personal Care Stores,Hannaford Food And Drug,43.090311,-75.224639
Health and Personal Care Stores,Parkway Drugs,43.081236,-75.205712
 and Similar Institutions, Historical Sites,Museums,Union Station,43.104185,-75.223212
Religious Organizations,Turning Point Church,43.103348,-75.23675
 and Musical Instrument Stores, Hobby,Sporting Goods,Stage Music,43.107716,-75.244277
Personal Care Services,Colette M Griffith LMT,43.085012,-75.265399
Other Miscellaneous Store Retailers,Karen's Groom Room,43.126089,-75.236002
Restaurants and Other Eating Places,Phu Quoc,43.098859,-75.21898
General Medical and Surgical Hospitals,Mohawk Valley Central Patient Scheduling,43.090874,-75.257925
Home Furnishings Stores,Flooring America,43.112034,-75.259975
Automobile Dealers,Carbone Collision Center,43.139253,-75.214819
Traveler Accommodation,Hampton,43.108878,-75.216594
Other Miscellaneous Store Retailers,Collinite Cheml Co,43.095923,-75.253166
Restaurants and Other Eating Places,Herrera Sabor Latino,43.100738,-75.22508
Restaurants and Other Eating Places,Rutger Restaurant,43.089083,-75.204602
Lessors of Real Estate,Mobile Mini,43.1131,-75.266013
Grocery Stores,Ferris R & Sons,43.106493,-75.216459
Restaurants and Other Eating Places,Simmer,43.093007,-75.224192
Restaurants and Other Eating Places,O'Scugnizzo Pizzeria,43.098783,-75.220392
General Medical and Surgical Hospitals,Faxton St Luke's Healthcare,43.097058,-75.277922
Nursing Care Facilities (Skilled Nursing Facilities),Insight House Chemical Dependency Services,43.106065,-75.23599
Restaurants and Other Eating Places,Black Rice Sushi & Thai,43.098667,-75.21826
 and Gift Stores, Stationery,Office Supplies,Bare Naked Furniture,43.100746,-75.155433
Restaurants and Other Eating Places,A Taste Of Laos,43.099779,-75.233179
Automotive Repair and Maintenance,Larry's Auto Repair,43.162412,-75.210868
Restaurants and Other Eating Places,Domino's Pizza,43.085106,-75.286837
Consumer Goods Rental,Colortyme,43.099289,-75.247227
Building Material and Supplies Dealers,Tractor Supply Co.,43.128133,-75.222992
Restaurants and Other Eating Places,Bagel Grove,43.089873,-75.257936
Lessors of Real Estate,Moe'S Plaza,43.107212,-75.220658
Other Miscellaneous Store Retailers,Puff N Stuff,43.096149,-75.241485
Restaurants and Other Eating Places,Lukins Brick Oven Pizza,43.104013,-75.242766
Religious Organizations,St Peter & Paul Ukrainian Orthodox Church,43.104363,-75.243617
Restaurants and Other Eating Places,Pho Mekong House of Noodles,43.099718,-75.227167
Religious Organizations,Hope Chapel A M E Zion Church,43.091452,-75.217644
Restaurants and Other Eating Places,Europa Restaurant,43.095367,-75.215544
 and Similar Institutions, Historical Sites,Museums,Pixley Park,43.10183,-75.26358
Restaurants and Other Eating Places,Trulli Di Turi,43.115713,-75.209808
Restaurants and Other Eating Places,Smith Market,43.10315,-75.222524
Restaurants and Other Eating Places,Joseph Putrello Barista Coffee Bar,43.099304,-75.236196
Other Personal Services,A Dogs Day Out,43.126311,-75.23661
Grocery Stores,Price Chopper New England,43.113958,-75.207812
Health and Personal Care Stores,Utica Pharmacy,43.08777,-75.259876
Religious Organizations,St Francis Desales Catholic Church,43.095798,-75.238041
Other Amusement and Recreation Industries,AMF,43.088761,-75.257826
Child Day Care Services,North Utica Senior Citizens Recreation Center Inc,43.118242,-75.213692
Automotive Repair and Maintenance,Automatio Experts,43.09247,-75.183497
Restaurants and Other Eating Places,Tramontane Cafe,43.100105,-75.242145
Other Miscellaneous Store Retailers,Munson Williams Proctor Arts Institute,43.097588,-75.240202
 and Musical Instrument Stores, Hobby,Sporting Goods,Cabela's,43.128538,-75.227302
Other Motor Vehicle Dealers,S & R Custom Motorcycle Parts,43.097032,-75.246719
 and Liquor Stores, Wine,Beer,Adirondack Distilling Company,43.104114,-75.24145
Restaurants and Other Eating Places,Napoli's Italian Bakery,43.092155,-75.196847
Other Personal Services,Utica City Parking Garage,43.112345,-75.214751
Restaurants and Other Eating Places,Mohawk Deli & Grill,43.089089,-75.223295
Grocery Stores,Jweid Albert,43.098606,-75.227762
Personal Care Services,Serendipity Hair Salon & Boutique,43.090743,-75.215696
Personal Care Services,The Rut,43.104339,-75.269875
Automobile Dealers,Carbone Pontiac At Hornell,43.136912,-75.217606
Personal Care Services,Inkorporated Tattoo Studio,43.102165,-75.22549
Gasoline Stations,CITGO,43.116307,-75.211522
Other Miscellaneous Store Retailers,Pathway of PEARLS,43.099778,-75.152411
Restaurants and Other Eating Places,Alpine Restaurant,43.096843,-75.216389
Restaurants and Other Eating Places,Craylee's,43.10141,-75.227447
Restaurants and Other Eating Places,The Hub Eatery,43.101361,-75.228397
Bakeries and Tortilla Manufacturing,Big O Bakery,43.097578,-75.214903
Restaurants and Other Eating Places,KFC,43.10841,-75.21943
Bakeries and Tortilla Manufacturing,Mojoz,43.080467,-75.207113
 and Similar Institutions, Historical Sites,Museums,Kernan Park,43.088989,-75.20764
Restaurants and Other Eating Places,Bazar Grill & Lounge,43.095439,-75.222754
Restaurants and Other Eating Places,Medino's Restaurant,43.095332,-75.215471
Religious Organizations,All Saints Episcopal Church,43.089295,-75.248459
 and Musical Instrument Stores, Hobby,Sporting Goods,K & K Train & Hobby,43.08602,-75.279684
Religious Organizations,Payne's Temple Church of God In Christ,43.097797,-75.228352
Automotive Repair and Maintenance,BMP Autoworx,43.107567,-75.24376
Grocery Stores,PriceRite,43.099612,-75.220525
Religious Organizations,Deliverance First Ministries Church Of The Living God,43.101602,-75.245305
Automotive Repair and Maintenance,In Tune Automotive,43.103171,-75.246493
Other Personal Services,Sherry Spa,43.117644,-75.210085
Grocery Stores,Shop and Go,43.097234,-75.215079
Restaurants and Other Eating Places,Golden's,43.100414,-75.233668
Used Merchandise Stores,Fort Schuyler Trading Co,43.114241,-75.208946
Automotive Repair and Maintenance,Monopoli Michael,43.095074,-75.242473
Other Motor Vehicle Dealers,Cycle Motive,43.092318,-75.182335
Religious Organizations,St Mary of Mount Carmel Church,43.099839,-75.218031
Religious Organizations,Trinity Lutheran Church,43.078843,-75.278252
Automotive Repair and Maintenance,Minit Car Wash,43.087216,-75.254719
Restaurants and Other Eating Places,Chophouse by Chesterfield,43.1026,-75.230708
Used Merchandise Stores,Duda Woodworking & Chair Hospital,43.105572,-75.241062
Religious Organizations,Peter Spencer Uame Church,43.09642,-75.22085
Health and Personal Care Stores,Colino Daniel F,43.115774,-75.208521
Restaurants and Other Eating Places,Bella Regina,43.100096,-75.233395
Other Motor Vehicle Dealers,Sports Unlimited,43.13508,-75.218923
Automobile Dealers,Southside Automotive,43.109341,-75.261443
Automotive Repair and Maintenance,Maugeri's Auto Body,43.104954,-75.237735
Personal Care Services,Papito Barbershop,43.098259,-75.218352
Restaurants and Other Eating Places,Stanley Restaurant,43.102332,-75.242032
Gasoline Stations,Fastrac,43.08823,-75.259405
Restaurants and Other Eating Places,Krispy Krunchy Chicken,43.095182,-75.242484
Automotive Repair and Maintenance,Clean Car Auto Sales & Detailing,43.099041,-75.210754
Lessors of Real Estate,Rite Aid Plaza,43.089543,-75.222216
 and Similar Institutions, Historical Sites,Museums,Roscoe Conkling Park,43.082736,-75.250638
 and Gift Stores, Stationery,Office Supplies,Harbor Point Minerals,43.106791,-75.215513
Automobile Dealers,Troya Motor Cars,43.18189,-75.183493
Automobile Dealers,Carbone Collision Center,43.137838,-75.216058
Miscellaneous Durable Goods Merchant Wholesalers,American Fireworks Display,43.096819,-75.217415
General Medical and Surgical Hospitals,Mohawk Valley Network,43.089398,-75.214578
 and Similar Institutions, Historical Sites,Museums,Memorial Parkway,43.084881,-75.245922
Religious Organizations,American Bh Islamic Center Of Utica Inc,43.096657,-75.210636
Religious Organizations,Tabernacle Of Praise Ministries Church Of The Living God Inc,43.109123,-75.261636
Automotive Repair and Maintenance,Quick Change Inc,43.093814,-75.225485
Grocery Stores,Roll Corporation Supermarket,43.088968,-75.234845
Restaurants and Other Eating Places,Utica Coffee Roasting,43.103445,-75.227632
Religious Organizations,Seventh Day Adventist Church,43.110419,-75.184327
Automotive Repair and Maintenance,Peters Glass,43.096768,-75.221924
Home Health Care Services,CNYHHN Inc,43.0925,-75.207902
Religious Organizations,St Joseph & St Patrick Church,43.104994,-75.241587
Religious Organizations,First Presbyterian Church,43.091377,-75.250231
Furniture Stores,Lavoda Home Furniture,43.098753,-75.208675
General Medical and Surgical Hospitals,Mohawk Valley Imaging PC,43.081992,-75.265836
Bakeries and Tortilla Manufacturing,Ramon's Bakery,43.080415,-75.207279
Restaurants and Other Eating Places,Subway,43.092047,-75.222262
Religious Organizations,Nepali Calvary Harvest Church International Inc,43.093756,-75.230121
Restaurants and Other Eating Places,Five Guys,43.128523,-75.224614
Restaurants and Other Eating Places,Sunny Restaurant Asian Cuisine,43.096983,-75.216914
Restaurants and Other Eating Places,Joey's Pizzeria,43.084832,-75.235915
Other Miscellaneous Store Retailers,Eagle Express Smoke Shop,43.086518,-75.218705
Automotive Repair and Maintenance,Trivieri's Auto Svce,43.091313,-75.225603
Restaurants and Other Eating Places,Hoopla Frozen Yogurt,43.107208,-75.220559
Religious Organizations,First Baptist Church of Utica,43.114248,-75.20188
Restaurants and Other Eating Places,Chesterfield Restaurant,43.093028,-75.199936
Religious Organizations,Lifecoach Communications Inc,43.078209,-75.273436
Restaurants and Other Eating Places,Palermo Pizzeria,43.095519,-75.242809
Child Day Care Services,Upstate Cerebral Palsy Inc New Discoveries Learning Center,43.079768,-75.211005
Religious Organizations,Tabernacle Baptist Church,43.09846,-75.234692
 and Musical Instrument Stores, Hobby,Sporting Goods,GameStop,43.128538,-75.224555
Religious Organizations,First Baptist Church,43.114239,-75.201895
Automotive Repair and Maintenance,Bargain Price Auto Glass,43.101172,-75.232523
Automotive Repair and Maintenance,Mavis Discount Tire,43.111126,-75.256075
Personal Care Services,Davi Nails,43.12856,-75.227295
 and Gift Stores, Stationery,Office Supplies,Ezra's Energy,43.10257,-75.22979
Bakeries and Tortilla Manufacturing,Classy Cakes,43.126183,-75.235942
Restaurants and Other Eating Places,Mi Casa Restaurant,43.095285,-75.243158
Grocery Stores,Dino's Sausage,43.099236,-75.216096
Child Day Care Services,Court Street Children's Center,43.100735,-75.238145
Automotive Repair and Maintenance,J & L Auto Svce,43.108802,-75.268484
Traveler Accommodation,Holiday Inn Express,43.10959,-75.221463
Specialty Food Stores,Sweet Escape Chocolate Lounge,43.097137,-75.241027
Gasoline Stations,Atlas,43.094303,-75.219707
Personal Care Services,Oneida Square Gun Shop,43.096216,-75.240339
Religious Organizations,Iglesia Unificando Corazones Contrictos Pentecostal Church,43.108824,-75.25738
Other Ambulatory Health Care Services,American Red Cross,43.094318,-75.244786
Restaurants and Other Eating Places,Dunkin',43.107842,-75.219935
Religious Organizations,Holy Trinity Cath Church,43.099453,-75.244915
Other Personal Services,K 9 Obedience Training,43.109009,-75.10086
Restaurants and Other Eating Places,Ruznic Market & Restaurant,43.094171,-75.214662
Automobile Dealers,R S Auto Sales,43.109089,-75.248928
Building Material and Supplies Dealers,Cavo Builders' Supplies,43.089527,-75.210899
Other Amusement and Recreation Industries,Upstate Empire Fitness,43.104591,-75.269576
Nursing Care Facilities (Skilled Nursing Facilities),St Joseph Nursing Home,43.079463,-75.274183
Electronics and Appliance Stores,Metro by T Mobile Authorized Dealer,43.086639,-75.261854
Restaurants and Other Eating Places,Luna Mexican Bar and Grill,43.103837,-75.243245
Restaurants and Other Eating Places,Dunkin',43.096161,-75.24285
Automotive Repair and Maintenance,Mavis Discount Tire,43.086437,-75.262566
Personal Care Services,Dominican Barber Shop,43.098286,-75.217329
Restaurants and Other Eating Places,Castlewood Cafe,43.104299,-75.27011
 and Similar Institutions, Historical Sites,Museums,Steuben Park,43.098224,-75.231843
